class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
1,3374.35,11,30,71,209.72,498.24,60.57,0.507327,3312.68,5524.69,1632.13,418.458,447.814,8,46.652,0.914713,2763,0.430101,2.00167,69.4239,58.251,1.02692
1,2671.19,7,30,67,163.76,441.09,78.92,0.456377,3196.86,4780.32,1333.85,375.405,417.691,8,47.7099,0.921868,2664,0.392183,1.70333,74.2062,68.7913,1.02325
1,5632.54,10,36,82,204.08,578.02,52.02,0.498266,3569.09,5923.27,2294.55,494.31,540.041,9,43.52,0.910343,3034,0.383333,2.747,69.9438,61.214,1.02398
1,5940.07,8,27,62,184.17,520.59,50.21,0.610157,2900.33,5900.9,2439.76,476.877,511.816,11,46.7748,0.875169,2505,0.521044,1.75107,82.61,68.8888,1.04708
1,3139.2,3,18,39,149.74,601.51,43.83,0.467571,2450.76,3827.66,1254,411.385,524.188,6,62.8346,0.886872,2259,0.505556,2.21187,71.2088,51.7541,1.03797
1,12634.7,4,17,38,284.84,277.58,71.88,0.38112,2970.1,4137.78,3488.6,279.583,333.305,4,78.1561,0.872459,2745,0.345098,2.27875,84.8222,68.2822,1.02779
1,3623.51,7,15,37,243.09,657.97,107.6,0.560445,2853.93,5274.59,1711.44,652.24,690.459,5,77.1281,0.907337,2246,0.533333,2.53833,67.2567,85.5448,1.02398
1,9777.98,9,16,41,207.83,309.44,38.81,0.525311,2455.77,4575.14,3150.83,253.451,278.562,5,59.8922,0.919681,2123,0.583333,2.17333,66.6888,60.9577,1.02209
1,4188.28,4,24,52,153.28,398.49,50.03,0.593982,2428.82,4830.27,1859.14,288.997,322.791,6,46.7027,0.902864,2118,0.36746,2.83389,70.4855,68.2896,1.02671
1,4336.33,5,20,45,204.68,458.19,74.98,0.310701,2578.91,2783.96,1273.86,355.507,425.97,6,57.304,0.918137,2167,0.438333,3.29167,69.891,54.3791,1.01834
1,6081.02,7,25,57,322.86,184.67,39.27,0.617099,2516.18,5223.21,2341.33,374.74,386.8,7,44.1384,0.888577,2140,0.399683,1.98656,81.1348,71.8359,1.03845
1,5796.91,6,25,56,361.44,220.54,89.13,0.387646,2647.59,3552.34,1775.67,337.608,346.141,5,47.2734,0.906417,2191,0.449905,2.44812,70.4026,57.6324,1.02804
1,6056.69,6,38,82,227.56,458.92,62.61,0.40955,3480.53,4846.92,2060.67,423.25,450.223,8,42.4405,0.914624,2931,0.451686,2.16771,78.8883,71.8568,1.02734
1,4074.84,6,37,80,187.11,451.08,55.55,0.513723,2841.57,4814.33,1718.66,422.923,454.222,10,35.514,0.899947,2403,0.538717,2.14767,76.2933,66.3928,1.0323
1,4461.75,8,27,62,198.91,451.94,59.01,0.357465,2870.16,3486.57,1411.04,362.051,383.608,7,46.2873,0.91888,2435,0.415226,2.45385,69.2489,57.2984,1.02447
1,4910.42,5,27,59,435.41,226.94,43.76,0.48427,3034.29,4950.87,1868.09,412.73,433.342,6,51.4231,0.889048,2847,0.39632,1.485,65.5523,56.1212,1.03706
1,1904.23,7,26,59,191.09,297.83,52.21,0.443543,2421.09,3518.24,888.025,327.223,333.463,4,41.0307,0.925249,2056,0.281136,1.782,77.0031,74.5261,1.02433
1,12865.8,8,21,50,189.45,391.38,47.73,0.683076,2624.13,6223.54,4221.89,342.318,375.769,6,52.477,0.870276,2181,0.395918,2.86111,68.3052,60.3959,1.04024
1,6414.1,7,33,73,398.37,215.06,55.1,0.496176,3273.07,5503.81,2432.68,353.603,417.112,7,44.8308,0.912545,2780,0.314885,2.42731,66.3496,65.5015,1.02496
1,6099.12,6,20,46,180.89,365.77,60.47,0.443077,2704.32,4067.69,1940.06,433.728,551.305,6,58.7852,0.761642,2173,0.453485,2.20214,60.4749,63.5217,1.08487
1,9148.78,10,26,62,177.91,440.42,76.69,0.469517,3356.87,5360.44,2883.83,431.366,516.64,7,54.1374,0.796716,2593,0.454274,2.00222,83.9333,77.119,1.06531
1,5052.08,5,57,119,186.42,336.33,58.14,0.492637,3724.99,6064.58,2005.94,377.834,446.631,9,31.2974,0.847849,3110,0.470141,2.66912,93.5632,79.8581,1.07347
1,9471.27,7,30,67,185.05,267.09,46.69,0.390839,2645.8,3717.41,2687.91,312.759,347.427,5,39.484,0.893063,2178,0.467778,2.02333,76.8961,70.2154,1.03345
1,5836.94,7,30,67,199.32,659.86,53.11,0.728815,3621.88,8661.12,3192.71,730.813,808.363,18,54.0528,0.879936,3157,0.703268,2.66808,83.5086,90.7954,1.03792
1,7382.01,8,28,64,114.16,483.54,53.56,0.400503,2806.91,3950.71,2224.18,465.25,570.579,16,43.8533,0.847776,2403,0.75,2.6375,87.3027,81.1584,1.04372
1,8694.08,7,32,71,194.42,872.32,49.73,0.584708,3745.07,7360.35,3385,851.288,938.981,15,52.7424,0.855543,3240,0.578742,1.775,66.5874,70.2603,1.04668
1,2439.81,6,18,42,271.85,420.29,63.58,0.468838,2672.95,4135.13,1185.82,333.875,409.193,8,63.6371,0.908694,2283,0.537037,2.54222,65.8387,77.2032,1.02411
1,3411.93,7,27,61,153.34,465.6,59.16,0.380094,2860.22,3627.59,1208.47,478.772,518.486,16,46.8833,0.886849,2406,0.619709,3.38045,82.349,68.6723,1.02816
1,8095.12,6,41,88,180.27,777.12,46.73,0.573138,3729.02,7234.19,3325.93,759.288,802.379,21,42.3698,0.880516,3215,0.640958,2.40692,75.6598,77.7806,1.03491
1,3871.18,8,28,64,149.37,851.78,49.69,0.718742,3529.3,8132.2,2571.28,769.033,809.462,15,55.1397,0.89577,3001,0.707703,1.82062,78.0964,83.2509,1.0348
1,2.45804,6,14,34,363.36,534.5,123.34,0.547845,3287.45,5828.05,1215.87,476.47,574.928,4,96.6841,0.855848,2802,0.392857,2.01812,73.5543,64.203,1.0416
1,4834.57,7,21,49,139.47,524.28,65.5,0.529292,3019.93,5328.4,2012.84,519.147,555.33,10,61.6263,0.851049,2553,0.607215,1.70833,82.7977,81.2268,1.04527
1,3896.84,8,27,62,141.98,883.02,50.18,0.518775,3322.43,5679.51,1879.05,869.891,926.598,17,53.5829,0.863314,2865,0.766975,2.55971,75.7595,69.1273,1.04086
1,10711.8,6,22,50,147.51,728.97,51.93,0.502403,2906.19,5151.13,3343.16,713.282,783.255,13,58.1188,0.880213,2444,0.546281,2.92833,69.4159,77.6744,1.03805
1,3575.56,7,23,53,154.54,396.63,79.36,0.637345,2718.42,5695.94,1898.57,400.489,471.423,13,51.2862,0.849337,2202,0.675362,2.11654,73.5212,73.7302,1.04785
1,12970.9,8,29,66,354.49,245.19,74.19,0.350305,3186.18,4119.02,3535.98,284.729,313.415,6,48.27,0.921847,2649,0.344061,2.903,94.705,82.3708,1.0187
1,13124.2,7,23,53,165.05,311.28,52.8,0.44259,2538.12,4139.41,3669.57,202.312,228.657,5,47.8838,0.905082,2250,0.460663,2.44,80.644,64.6223,1.02706
1,11267.4,5,16,37,348.66,343.15,58.85,0.393135,2785.31,4019.24,3165.61,345.381,391.459,4,75.2738,0.912967,2348,0.28125,2.99333,62.1045,53.9343,1.02489
1,7874.43,8,39,86,471.61,220.87,46.29,0.399072,3632.74,4970.1,2441.7,405.196,417.334,5,42.236,0.900685,3091,0.346581,2.51885,77.3516,68.4342,1.03206
1,5595.41,8,24,56,331.12,713.36,86.42,0.722467,3797.78,8913.17,3165.73,693.882,763.566,9,67.8125,0.898148,3146,0.492424,2.80893,70.0942,64.3795,1.03104
1,7079.15,6,24,54,219.09,360.25,71.99,0.465735,3004.33,4756.51,2332.71,442.774,464.54,5,55.6313,0.897986,2579,0.416667,1.58687,62.5858,62.1432,1.03236
1,7420.57,9,29,67,246.68,607.17,69.1,0.500007,3886.87,6515.31,2854.33,475.7,539.781,6,58.007,0.924025,3268,0.365764,2.24545,76.1883,49.6137,1.02202
1,4843.88,12,26,64,216.38,496.48,70.29,0.51742,3018.67,5114,1919.38,405.481,446.146,8,47.1617,0.922131,2388,0.596154,2.35312,70.2845,62.4046,1.02431
1,5482.53,11,27,65,198.54,444.96,62.82,0.575954,2967.27,5723.94,2220.85,451.57,518.695,8,45.646,0.902313,2495,0.505996,2.675,70.5813,63.5431,1.02763
1,2706.45,8,26,60,198.53,455.45,77.18,0.398399,3003.43,3928.02,1062.71,443.635,479.734,9,50.0522,0.887476,2574,0.534188,2.71214,71.6648,78.3949,1.03748
1,3565.72,8,25,58,207.16,432.65,47.92,0.45902,2887.19,4402.09,1412.13,420.195,479.067,7,49.7738,0.88361,2501,0.546667,2.3815,72.1366,80.9317,1.03512
1,5103.55,9,35,79,201.9,509.55,44.11,0.612477,3411.3,6892.38,2485.59,488.526,520.248,13,43.1758,0.885653,2955,0.663624,2.02868,77.3485,68.6336,1.0348
1,5086.82,7,28,63,170.95,433.31,55.84,0.579801,2578.76,5028.93,2049.6,443.782,466.066,9,40.9279,0.92629,2068,0.5,2.76,77.3668,64.8776,1.01999
1,4654,8,31,70,190.69,425.52,70.46,0.537182,3092.59,5498.02,2059.24,368.973,479.16,9,44.175,0.91749,2541,0.552108,1.90781,68.6248,65.3849,1.02511
1,6390.81,6,30,66,198.97,451.59,62.26,0.58103,3264.46,6387.48,2668.28,374.649,424.848,9,49.4564,0.911081,2834,0.505952,1.77382,82.0556,68.237,1.02522
1,6242.1,8,29,66,518.42,241.06,53.79,0.346455,3281.27,3937.67,1882.9,471.069,509.088,8,49.7106,0.925261,2813,0.458974,2.72937,59.7314,55.5611,1.01916
1,6225.57,9,19,47,201.18,662.87,43.77,0.655546,2900.74,6305.87,2629.72,571.097,674.408,10,61.713,0.876981,2518,0.51462,2.41192,78.603,72.3333,1.03379
1,2223.09,9,28,65,190.24,716.47,30.93,0.504191,3324.67,5415.88,1329.51,605.426,659.569,12,51.1446,0.913506,2900,0.565986,2.83682,76.6538,62.1662,1.02922
1,6253.47,10,28,66,251.3,666.05,36.56,0.44937,3475.77,5250.81,2163.11,598.696,667.568,11,52.6585,0.913593,3017,0.596429,2.38444,70.8288,62.8423,1.02258
1,6254.89,7,20,47,201.37,482.31,59.06,0.357428,2502.67,3174.2,1821.51,451.633,513.33,7,53.2432,0.906254,2095,0.55,2.50056,74.4658,76.297,1.02416
1,11783.2,11,25,61,191.84,566.56,57.5,0.42037,2906.15,4429.57,3381.34,502.16,582.42,7,47.6362,0.917863,2389,0.475556,1.67375,77.91,61.9253,1.02314
1,3792.8,8,18,44,243.97,547.8,57.4,0.510017,2531.27,4327.37,1600.87,458.874,499.856,5,57.5236,0.902699,2142,0.338889,1.51687,60.5763,63.5174,1.02448
1,2442.46,9,31,71,274.45,568.09,39.31,0.507336,3743.88,6136.8,1508.74,496.096,559.24,7,52.7259,0.868043,3281,0.407271,2.57533,82.8246,63.0062,1.0474
1,4120.92,7,25,57,215.97,490,46.42,0.517095,2732.46,4777.33,1770.79,431.239,490.461,6,47.9333,0.898756,2374,0.422222,2.9705,74.356,81.2236,1.03571
1,3443.35,4,32,68,141.83,459.43,64.27,0.609475,2740.37,5436.19,1752.89,408.65,461.881,14,40.295,0.90741,2280,0.638927,2.12393,72.0054,77.3888,1.0247
1,3562.55,7,30,67,213.05,655.38,106.93,0.620253,3738.92,7495.38,2164.07,586.118,660.589,9,55.7994,0.892101,3084,0.532323,2.85583,73.2083,68.9912,1.03152
1,4042.86,10,33,76,183.5,548.87,58.51,0.389403,3335.54,4322.84,1418.06,494.371,538.542,7,43.8838,0.884094,2870,0.565945,2.33344,82.4868,70.6222,1.04059
1,4724.22,11,34,79,191.33,538,96.07,0.380434,3488.05,4420.01,1596.25,479.498,511.622,9,44.1473,0.912762,2824,0.470588,2.56808,74.6982,59.6627,1.02442
1,3908.95,7,31,69,390.17,230.05,72.02,0.332291,3129.44,3507.53,1255.03,391.85,421.247,8,45.3493,0.911454,2659,0.487655,2.47292,78.9547,65.309,1.02616
1,6754.28,13,33,79,204.32,583.5,54.96,0.362966,3339.75,4165.99,2034.17,500.053,536.812,7,42.2696,0.912666,2823,0.537879,1.8025,66.6541,62.6157,1.02469
1,9969.54,4,29,62,107.46,212.81,68.29,0.570338,2941.71,5778.92,3308.17,171.532,225.267,5,47.4421,0.870532,2527,0.43908,2.462,69.1206,55.7526,1.03842
1,9506.05,9,40,89,223.49,538.25,96.19,0.511343,3613.93,6290.32,3200.39,488.511,561.941,9,40.6009,0.893593,2659,0.52077,2.53441,63.2099,70.5402,1.03776
1,11984.9,12,30,72,212.93,519.79,102.97,0.482841,3878.53,6291.5,3744.19,457.127,578.423,8,53.8639,0.848833,2952,0.448831,2.719,65.6511,72.6136,1.04582
1,5823.15,8,35,78,396.96,207.25,60.4,0.46934,3612.82,5655.16,2161.21,338.155,375.345,5,46.3131,0.86965,2876,0.541224,1.88937,70.0167,61.8642,1.04212

